Waktu,id,Username,Text;
2021-06-17 00:59:55,1405329325541388295,V.F.J,b'RT @KAI121: Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\n\nSelamat pagi\xe2\x80\xa6';
2021-06-17 00:45:10,1405325613636849664,•𝓦𝓲𝓴𝓪,b'RT @KAI121: Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\n\nSelamat pagi\xe2\x80\xa6';
2021-06-17 00:29:14,1405321604884615170,h.. atilla,b'RT @pesonaid_travel: Sapaan mentari pagi terlihat lebih dramatis jika disaksikan melalui hamparan persawahan dan perkebunan berlatar-belaka\xe2\x80\xa6';
2021-06-17 00:23:06,1405320059451371520,Novri Hargita Kusuma,b'RT @KAI121: Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\n\nSelamat pagi\xe2\x80\xa6';
2021-06-17 00:12:36,1405317416515633152,D H A N I,b'RT @KAI121: Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\n\nSelamat pagi\xe2\x80\xa6';
2021-06-17 00:12:26,1405317375214247940,ＳＥＰＵＲＭＡＮ,b'RT @KAI121: Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\n\nSelamat pagi\xe2\x80\xa6';
2021-06-17 00:03:11,1405315047392374787,Aat maning,b'RT @KAI121: Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\n\nSelamat pagi\xe2\x80\xa6';
2021-06-16 23:59:50,1405314205046112257,Kereta Api Indonesia,b'Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\xe2\x80\xa6 https://t.co/5LLmmf2F6y';
2021-06-16 21:30:09,1405276534626152451,Nareswari Aleeya,b'RT @Kemenparekraf: Kemenparekraf menolak gratifikasi dalam bentuk apapun yang menjadi jalur pintas untuk korupsi. Utamakan integritas dan k\xe2\x80\xa6';
2021-06-16 17:15:07,1405212355147943937,Agustin Peranginangin,b'RT @BOBorobudur: Pengembangan Borobudur sebagai destinasi Pariwisata Super Prioritas tentunya akan memberikan sumber pertumbuhan ekonomi sk\xe2\x80\xa6';
"2021-06-16 17:13:33,1405211961973874694,Agus Hendrowibowo,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 17:04:26,1405209663897890817,Pariwisata & Ekonomi Kreatif,""b'Info selengkapnya, simak kultwit ini \xf0\x9f\x98\x89\n\n#BangkitBersamaKemenparekraf\n#Wonderfulindonesia https://t.co/KIz77T9mnX'""";
2021-06-16 16:57:38,1405207953687289867,Babinkamtibmas,b'RT @Kemenparekraf: Kemenparekraf menolak gratifikasi dalam bentuk apapun yang menjadi jalur pintas untuk korupsi. Utamakan integritas dan k\xe2\x80\xa6';
2021-06-16 16:51:20,1405206367913201671,ARIS APRIYADI KING,b'@_kemilaupesawaran \nRasa lelah mendaki yang kamu rasakan akan sebanding dengan inspirasi yang kamu dapatkan \xf0\x9f\xa5\xb0\n.\n\xf0\x9f\x93\x8c B\xe2\x80\xa6 https://t.co/Lb6yp0zV0z';
"2021-06-16 15:19:09,1405183169234669578,Adria Sukma Jayana,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 13:57:35,1405162644382773251,IG blusukanbantul,""b'Reposted from @supri86.sy36 Senja yg indah dan malm yg syahdu,, \xf0\x9f\x98\x81\xf0\x9f\x99\x88\nLok :@bukitlintangsewu \nIf :@vitriawulan_\xe2\x80\xa6 https://t.co/eQlelhtPEf'""";
"2021-06-16 13:18:59,1405152930248888324,Tri hadi bariyanto,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
2021-06-16 12:09:01,1405135319704477698,Ayu Puspitasari,b'Wanita hebat itu..... seperti kamu. \xf0\x9f\x92\x90\xf0\x9f\x99\x82\n.\n.\n.\n.\n#ayupuspitasari #ay #potretkehidupan #berkatmelimpah #photography\xe2\x80\xa6 https://t.co/Ijx99gkOfi';
"2021-06-16 10:01:02,1405103114106019841,⭐,""b'RT @KAI121: Sukses tidaklah dinilai dari hasil akhir saja, tapi juga proses serta perjuanganmu dalam meraihnya.\n\nSelamat pagi, #SahabatKAI\xe2\x80\xa6'""";
"2021-06-16 09:45:41,1405099252359991300,AndreasYunianto07,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
2021-06-16 09:43:17,1405098647524495361,wisata kampung indian kediri,b'MARI BERSENANG - SENANG.....!!!\n\nJANGAN LUPA SELALU TAAT PROKESNYA YA GAESSS\xe2\x80\xa6.!!!!\n\xe2\x80\xa2MENCUCI TANGAN PAKAI SABUN\n\xe2\x80\xa2MEN\xe2\x80\xa6 https://t.co/56GxyE5Kc8';
2021-06-16 09:12:26,1405090881955241986,Kang Dien,b'RT @Kemenparekraf: Kemenparekraf menolak gratifikasi dalam bentuk apapun yang menjadi jalur pintas untuk korupsi. Utamakan integritas dan k\xe2\x80\xa6';
2021-06-16 08:49:26,1405085095879344128,Timo,b'RT @Kemenparekraf: Kemenparekraf menolak gratifikasi dalam bentuk apapun yang menjadi jalur pintas untuk korupsi. Utamakan integritas dan k\xe2\x80\xa6';
